Date,Solar Radiation (W/m²),Temperature (°C),Wind Speed (m/s),Humidity (% RH),Surface Temperature (°C)
2001-01-01,12.75,14.02,3.7,64.45,14.48
2001-01-02,14.26,15.14,1.81,48.59,15.18
2001-01-03,14.71,15.32,2.46,40.87,15.53
2001-01-04,14.52,14.95,2.78,33.94,14.95
2001-01-05,15.24,14.98,2.93,29.8,14.51
2001-01-06,15.48,14.79,2.53,23.25,14.68
2001-01-07,11.67,14.08,3.13,25.95,14.15
2001-01-08,11.38,13.41,2.82,33.4,13.84
2001-01-09,14.86,13.54,2.49,30.46,13.23
2001-01-10,15.56,14.18,2.6,20.89,13.28
2001-01-11,15.3,15.12,2.46,16.64,14.22
2001-01-12,15.44,16.28,2.64,14.46,15.77
2001-01-13,15.9,15.39,2.88,18.09,14.89
2001-01-14,15.91,16.51,2.09,20.39,15.03
2001-01-15,16.39,16.06,2.78,20.86,15.63
2001-01-16,16.12,16.48,2.7,18.04,15.28
2001-01-17,16.57,15.81,3.35,15.7,14.94
2001-01-18,16.39,15.09,3.56,17.06,15.18
2001-01-19,15.91,15.18,3.04,17.53,15.49
2001-01-20,15.67,16.22,2.09,16.35,15.26
2001-01-21,14.89,17.22,3.48,33.31,16.36
2001-01-22,16.72,14.79,4.27,25.92,14.68
2001-01-23,17.8,13.06,3.77,19.9,13.45
2001-01-24,17.09,15.01,2.17,20.98,13.69
2001-01-25,17.4,16.15,3.5,14.0,14.9
2001-01-26,17.22,17.44,2.72,15.07,16.76
2001-01-27,17.86,18.08,2.43,20.16,17.78
2001-01-28,16.87,19.13,2.01,14.15,18.24
2001-01-29,17.15,19.12,4.25,21.15,18.82
2001-01-30,17.91,14.67,4.52,12.95,15.55
2001-01-31,19.75,11.86,3.08,14.25,12.36
2001-02-01,18.89,13.76,2.46,11.88,12.89
2001-02-02,18.94,16.27,1.48,8.64,13.42
2001-02-03,19.31,15.88,2.92,8.89,13.81
2001-02-04,18.01,17.31,2.2,7.86,14.59
2001-02-05,18.93,16.96,2.71,9.27,15.72
2001-02-06,18.13,17.13,2.72,11.21,17.08
2001-02-07,17.96,17.62,3.07,13.94,17.76
2001-02-08,18.09,18.99,2.1,16.02,18.38
2001-02-09,18.62,20.14,3.71,17.04,18.89
2001-02-10,19.79,18.19,3.31,11.92,18.24
2001-02-11,19.95,19.45,1.93,10.92,17.84
2001-02-12,19.57,19.43,3.26,9.2,19.33
2001-02-13,8.09,20.72,3.98,11.15,20.62
2001-02-14,17.93,16.43,4.46,30.63,17.45
2001-02-15,18.28,18.02,4.44,29.26,18.79
2001-02-16,16.83,19.56,2.44,19.83,19.26
2001-02-17,18.75,20.88,2.09,17.88,20.82
2001-02-18,18.89,20.74,2.84,20.49,20.86
2001-02-19,17.86,22.53,2.24,17.9,22.55
2001-02-20,18.49,22.69,4.98,22.16,22.83
2001-02-21,20.16,21.53,2.19,19.92,22.05
2001-02-22,17.12,23.29,5.42,21.72,23.51
2001-02-23,16.64,25.31,4.25,39.36,26.44
2001-02-24,11.78,23.38,2.72,42.44,23.65
2001-02-25,20.88,21.96,4.0,25.97,22.61
2001-02-26,22.64,19.16,3.07,12.88,20.41
2001-02-27,21.08,20.17,2.92,8.5,20.98
2001-02-28,22.01,20.59,3.28,8.86,21.61
2001-03-01,21.95,20.67,2.74,10.52,21.22
2001-03-02,20.66,21.11,2.53,10.84,21.22
2001-03-03,22.13,21.76,2.08,9.61,21.83
2001-03-04,22.78,22.0,2.31,10.66,21.75
2001-03-05,22.32,22.97,2.56,9.75,22.12
2001-03-06,19.88,23.53,4.76,8.88,23.51
2001-03-07,22.51,24.71,2.42,17.66,25.19
2001-03-08,22.39,26.19,1.6,12.02,25.59
2001-03-09,22.43,26.72,1.95,10.77,26.22
2001-03-10,22.78,27.11,2.3,11.42,27.15
2001-03-11,23.37,27.39,2.82,11.59,27.49
2001-03-12,21.92,26.16,3.66,11.83,26.18
2001-03-13,21.64,25.42,3.68,19.76,27.09
2001-03-14,23.21,24.7,2.47,10.49,26.76
2001-03-15,23.57,25.38,3.38,13.51,27.37
2001-03-16,24.48,25.7,2.91,10.83,26.72
2001-03-17,23.47,27.6,2.64,11.53,27.25
2001-03-18,23.19,28.25,4.2,18.46,29.6
2001-03-19,17.41,27.7,2.9,25.05,28.36
2001-03-20,22.48,25.59,4.22,31.32,27.81
2001-03-21,19.52,24.74,1.92,20.97,26.49
2001-03-22,24.38,26.64,2.18,18.22,29.14
2001-03-23,24.35,27.51,2.62,15.22,29.22
2001-03-24,18.8,27.37,3.61,14.19,26.87
2001-03-25,23.86,28.03,3.52,22.3,29.79
2001-03-26,24.45,28.98,3.04,20.53,30.62
2001-03-27,21.03,29.5,6.01,34.15,30.32
2001-03-28,23.38,26.92,7.75,25.14,28.03
2001-03-29,24.23,24.68,3.91,16.18,26.41
2001-03-30,24.43,24.21,3.93,22.73,25.75
2001-03-31,25.87,27.08,2.06,17.67,28.39
