Date,Solar Radiation (W/m²),Temperature (°C),Wind Speed (m/s),Humidity (% RH),Surface Temperature (°C)
20010101,12.75,14.02,3.7,64.45,14.48
20010102,14.26,15.14,1.81,48.59,15.18
20010103,14.71,15.32,2.46,40.87,15.53
20010104,14.52,14.95,2.78,33.94,14.95
20010105,15.24,14.98,2.93,29.8,14.51
20010106,15.48,14.79,2.53,23.25,14.68
20010107,11.67,14.08,3.13,25.95,14.15
20010108,11.38,13.41,2.82,33.4,13.84
20010109,14.86,13.54,2.49,30.46,13.23
20010110,15.56,14.18,2.6,20.89,13.28
20010111,15.3,15.12,2.46,16.64,14.22
20010112,15.44,16.28,2.64,14.46,15.77
20010113,15.9,15.39,2.88,18.09,14.89
20010114,15.91,16.51,2.09,20.39,15.03
20010115,16.39,16.06,2.78,20.86,15.63
20010116,16.12,16.48,2.7,18.04,15.28
20010117,16.57,15.81,3.35,15.7,14.94
20010118,16.39,15.09,3.56,17.06,15.18
20010119,15.91,15.18,3.04,17.53,15.49
20010120,15.67,16.22,2.09,16.35,15.26
20010121,14.89,17.22,3.48,33.31,16.36
20010122,16.72,14.79,4.27,25.92,14.68
20010123,17.8,13.06,3.77,19.9,13.45
20010124,17.09,15.01,2.17,20.98,13.69
20010125,17.4,16.15,3.5,14.0,14.9
20010126,17.22,17.44,2.72,15.07,16.76
20010127,17.86,18.08,2.43,20.16,17.78
20010128,16.87,19.13,2.01,14.15,18.24
20010129,17.15,19.12,4.25,21.15,18.82
20010130,17.91,14.67,4.52,12.95,15.55
20010131,19.75,11.86,3.08,14.25,12.36
20010201,18.89,13.76,2.46,11.88,12.89
20010202,18.94,16.27,1.48,8.64,13.42
20010203,19.31,15.88,2.92,8.89,13.81
20010204,18.01,17.31,2.2,7.86,14.59
20010205,18.93,16.96,2.71,9.27,15.72
20010206,18.13,17.13,2.72,11.21,17.08
20010207,17.96,17.62,3.07,13.94,17.76
20010208,18.09,18.99,2.1,16.02,18.38
20010209,18.62,20.14,3.71,17.04,18.89
20010210,19.79,18.19,3.31,11.92,18.24
20010211,19.95,19.45,1.93,10.92,17.84
20010212,19.57,19.43,3.26,9.2,19.33
20010213,8.09,20.72,3.98,11.15,20.62
20010214,17.93,16.43,4.46,30.63,17.45
20010215,18.28,18.02,4.44,29.26,18.79
20010216,16.83,19.56,2.44,19.83,19.26
20010217,18.75,20.88,2.09,17.88,20.82
20010218,18.89,20.74,2.84,20.49,20.86
20010219,17.86,22.53,2.24,17.9,22.55
20010220,18.49,22.69,4.98,22.16,22.83
20010221,20.16,21.53,2.19,19.92,22.05
20010222,17.12,23.29,5.42,21.72,23.51
20010223,16.64,25.31,4.25,39.36,26.44
20010224,11.78,23.38,2.72,42.44,23.65
20010225,20.88,21.96,4.0,25.97,22.61
20010226,22.64,19.16,3.07,12.88,20.41
20010227,21.08,20.17,2.92,8.5,20.98
20010228,22.01,20.59,3.28,8.86,21.61
20010301,21.95,20.67,2.74,10.52,21.22
20010302,20.66,21.11,2.53,10.84,21.22
20010303,22.13,21.76,2.08,9.61,21.83
20010304,22.78,22.0,2.31,10.66,21.75
20010305,22.32,22.97,2.56,9.75,22.12
20010306,19.88,23.53,4.76,8.88,23.51
20010307,22.51,24.71,2.42,17.66,25.19
20010308,22.39,26.19,1.6,12.02,25.59
20010309,22.43,26.72,1.95,10.77,26.22
20010310,22.78,27.11,2.3,11.42,27.15
20010311,23.37,27.39,2.82,11.59,27.49
20010312,21.92,26.16,3.66,11.83,26.18
20010313,21.64,25.42,3.68,19.76,27.09
20010314,23.21,24.7,2.47,10.49,26.76
20010315,23.57,25.38,3.38,13.51,27.37
20010316,24.48,25.7,2.91,10.83,26.72
20010317,23.47,27.6,2.64,11.53,27.25
20010318,23.19,28.25,4.2,18.46,29.6
20010319,17.41,27.7,2.9,25.05,28.36
20010320,22.48,25.59,4.22,31.32,27.81
20010321,19.52,24.74,1.92,20.97,26.49
20010322,24.38,26.64,2.18,18.22,29.14
20010323,24.35,27.51,2.62,15.22,29.22
20010324,18.8,27.37,3.61,14.19,26.87
20010325,23.86,28.03,3.52,22.3,29.79
20010326,24.45,28.98,3.04,20.53,30.62
20010327,21.03,29.5,6.01,34.15,30.32
20010328,23.38,26.92,7.75,25.14,28.03
20010329,24.23,24.68,3.91,16.18,26.41
20010330,24.43,24.21,3.93,22.73,25.75
20010331,25.87,27.08,2.06,17.67,28.39
20010401,25.96,28.54,1.84,10.86,28.17
20010402,26.02,28.06,3.22,11.26,29.01
20010403,26.43,29.02,4.12,12.69,30.21
20010404,25.17,28.46,3.86,12.28,29.57
20010405,27.03,27.52,3.78,15.12,29.0
20010406,26.14,30.01,2.14,10.45,31.88
20010407,26.05,30.86,4.09,8.03,32.23
20010408,26.29,30.86,5.27,8.3,32.16
20010409,26.28,31.3,5.66,16.11,32.69
20010410,25.04,31.41,7.33,19.74,32.76
20010411,22.99,31.18,5.92,27.68,32.61
