itemId,name,width,depth,height,mass,priority,expiryDate,usageLimit,preferredZone
1,Water Tank,27,27,5,3,56,7/29/2025,14,Storage Bay
2,Oxygen Tank,30,25,20,16,52,04-07-2026,11,Storage Bay
3,Medical Kit,7,7,29,14,73,11-04-2026,12,Med Bay
4,Water Tank,15,14,25,8,50,06-09-2025,10,Crew Quarters
5,Food Packet,24,26,9,1,94,10/15/2026,12,Storage Bay
6,Food Packet,11,30,22,14,72,1/26/2026,10,Med Bay
7,Medical Kit,14,24,9,7,69,5/14/2026,13,Storage Bay
8,Oxygen Tank,18,27,10,17,68,11/29/2026,10,Crew Quarters
9,Water Tank,15,13,6,9,98,10-04-2025,12,Storage Bay
10,Water Tank,18,20,23,17,72,11-06-2026,14,Med Bay
11,Water Tank,20,23,13,20,71,7/21/2025,10,Storage Bay
12,Food Packet,22,23,8,3,72,09-07-2026,13,Med Bay
13,Water Tank,24,8,18,20,71,10/30/2025,13,Storage Bay
14,Water Tank,8,11,10,7,55,11-07-2026,15,Crew Quarters
15,Medical Kit,24,15,15,16,59,08-07-2026,14,Crew Quarters
16,Food Packet,20,26,28,3,55,04-03-2025,14,Med Bay
17,Water Tank,12,16,5,14,64,4/18/2026,14,Crew Quarters
18,Food Packet,15,29,12,4,71,10/14/2026,10,Crew Quarters
19,Water Tank,7,13,19,15,74,4/17/2026,13,Med Bay
20,Oxygen Tank,15,7,8,4,95,1/25/2026,10,Storage Bay
21,Oxygen Tank,8,7,7,16,52,11-04-2026,15,Med Bay
22,Oxygen Tank,7,26,8,13,76,3/30/2025,15,Crew Quarters
23,Oxygen Tank,23,20,23,3,63,7/16/2025,13,Storage Bay
24,Medical Kit,7,25,21,6,74,5/23/2026,14,Crew Quarters
25,Water Tank,27,6,13,12,96,11/28/2025,12,Crew Quarters
26,Oxygen Tank,11,23,12,10,61,6/26/2026,13,Storage Bay
27,Oxygen Tank,8,28,16,4,68,12-04-2026,14,Med Bay
28,Food Packet,25,18,16,5,96,08-09-2025,13,Crew Quarters
29,Oxygen Tank,6,13,29,6,78,6/15/2025,14,Storage Bay
30,Food Packet,21,28,24,11,93,6/17/2026,10,Storage Bay
31,Oxygen Tank,16,10,20,8,63,10/18/2026,12,Storage Bay
32,Food Packet,25,13,23,9,78,08-06-2026,12,Storage Bay
33,Oxygen Tank,29,10,28,20,91,7/27/2026,13,Storage Bay
34,Medical Kit,27,6,26,7,76,11/23/2025,12,Med Bay
35,Oxygen Tank,14,23,10,2,97,11-10-2026,14,Med Bay
36,Oxygen Tank,25,26,19,6,81,8/30/2025,11,Crew Quarters
37,Medical Kit,10,29,5,7,70,12/18/2025,11,Med Bay
38,Medical Kit,11,15,24,6,72,10/15/2025,11,Crew Quarters
39,Oxygen Tank,8,14,6,13,60,8/22/2025,12,Med Bay
40,Medical Kit,8,12,28,20,54,07-09-2026,13,Crew Quarters
41,Water Tank,27,13,5,12,54,6/16/2026,13,Crew Quarters
42,Food Packet,17,16,29,5,88,6/29/2026,10,Storage Bay
43,Food Packet,5,11,22,20,90,07-12-2026,10,Med Bay
44,Food Packet,5,8,26,4,78,10/30/2025,10,Med Bay
45,Oxygen Tank,24,16,22,10,74,12/28/2025,11,Med Bay
46,Food Packet,28,30,12,4,67,01-10-2026,11,Storage Bay
47,Oxygen Tank,14,12,9,3,60,02-09-2026,14,Storage Bay
48,Oxygen Tank,23,16,19,15,78,9/29/2025,11,Med Bay
49,Oxygen Tank,15,16,9,10,59,9/16/2025,15,Storage Bay
50,Oxygen Tank,24,23,20,20,85,5/22/2026,15,Storage Bay
51,Food Packet,21,12,13,4,95,09-11-2026,13,Storage Bay
52,Oxygen Tank,13,25,18,12,50,6/21/2025,14,Storage Bay
53,Water Tank,11,7,29,10,58,5/26/2026,13,Storage Bay
54,Water Tank,22,30,8,16,87,05-05-2026,13,Storage Bay
55,Medical Kit,8,7,12,11,92,10/24/2025,10,Crew Quarters
56,Food Packet,27,30,25,6,81,8/16/2026,13,Crew Quarters
57,Water Tank,25,23,25,16,58,11/26/2026,14,Med Bay
58,Food Packet,30,24,16,7,71,03-04-2026,15,Crew Quarters
59,Water Tank,6,19,19,1,96,12/13/2026,11,Storage Bay
60,Oxygen Tank,21,12,11,4,71,4/15/2025,13,Crew Quarters
61,Medical Kit,7,17,10,18,90,11/21/2025,12,Med Bay
62,Water Tank,7,20,23,17,94,11-09-2025,10,Crew Quarters
63,Water Tank,18,21,7,17,51,7/29/2025,12,Storage Bay
64,Food Packet,14,22,11,16,80,4/26/2026,12,Storage Bay
65,Oxygen Tank,24,15,24,8,54,04-11-2026,11,Med Bay
66,Oxygen Tank,18,6,23,15,57,02-02-2026,12,Crew Quarters
67,Water Tank,22,28,27,14,97,7/14/2025,15,Crew Quarters
68,Water Tank,29,30,25,4,95,1/13/2026,11,Med Bay
69,Food Packet,21,20,10,3,76,04-12-2025,10,Storage Bay
70,Food Packet,20,16,13,5,66,5/31/2026,11,Med Bay
71,Medical Kit,14,12,19,15,76,4/15/2026,10,Storage Bay
72,Water Tank,23,29,7,16,63,11-01-2025,15,Crew Quarters
73,Medical Kit,13,13,24,3,62,07-01-2025,12,Storage Bay
74,Medical Kit,30,29,22,15,60,05-09-2025,15,Storage Bay
75,Food Packet,22,26,13,14,74,8/17/2025,12,Crew Quarters
76,Water Tank,15,11,7,18,75,4/17/2025,12,Crew Quarters
77,Oxygen Tank,10,29,28,1,55,8/20/2026,13,Med Bay
78,Oxygen Tank,22,30,26,2,75,5/16/2025,11,Med Bay
79,Medical Kit,16,6,15,17,63,7/14/2026,13,Storage Bay
80,Oxygen Tank,16,21,10,2,83,04-11-2026,13,Med Bay
81,Water Tank,19,17,14,14,92,4/13/2025,11,Med Bay
82,Water Tank,17,6,16,11,87,4/29/2026,15,Med Bay
83,Water Tank,7,28,13,1,87,06-08-2025,11,Crew Quarters
84,Water Tank,9,11,14,18,62,11-07-2026,14,Crew Quarters
85,Medical Kit,19,25,17,12,64,3/16/2026,13,Crew Quarters
86,Oxygen Tank,14,15,27,18,91,10-01-2025,15,Storage Bay
87,Water Tank,16,5,28,3,59,4/21/2025,15,Crew Quarters
88,Oxygen Tank,23,11,13,11,92,8/21/2025,13,Med Bay
89,Food Packet,25,21,22,9,57,05-11-2026,10,Crew Quarters
90,Food Packet,15,17,13,9,65,10/25/2026,13,Med Bay
91,Food Packet,30,16,8,11,88,9/16/2025,10,Med Bay
92,Food Packet,28,5,12,6,87,11/14/2026,15,Med Bay
93,Medical Kit,11,5,5,8,84,04-01-2025,13,Crew Quarters
94,Food Packet,21,28,13,8,56,11-09-2025,15,Med Bay
95,Medical Kit,27,18,7,3,69,01-01-2026,13,Storage Bay
96,Oxygen Tank,10,9,6,2,55,1/31/2026,11,Crew Quarters
97,Food Packet,13,8,21,11,80,09-05-2025,11,Crew Quarters
98,Water Tank,14,23,15,7,60,5/28/2025,14,Crew Quarters
99,Oxygen Tank,27,20,15,20,100,4/27/2025,14,Crew Quarters
100,Oxygen Tank,5,21,19,13,97,05-01-2025,15,Storage Bay
